"id","n_features","file_bytes"
"20034",21,16350
"20035",21,16583
"20036",21,16470
"20037",21,16488
"20038",21,17943
"20039",21,17281
"20040",21,15593
"20041",21,17431
"20044",21,17749
"20045",21,17049
"20047",21,14403
"20048",21,14748
"20065",21,7904
"20066",21,8088
"20067",21,7129
"20068",21,7174
"20069",21,6967
"20070",21,6914
"20071",21,7028
"20072",21,7040
"20073",21,6937
"20074",21,6908
"20075",21,6329
"20076",21,6354
"20077",21,6744
"20078",21,6862
"20079",21,6428
"20080",21,7246
"20081",21,7246
"20111",21,24948
"20113",21,22575
"20125",21,12263
"20126",21,11868
"20127",21,11359
"20220",21,17377
"20221",21,16437
"20222",21,15079
"20223",21,16490
"20224",21,16630
"20225",21,16667
"20226",21,14219
"20227",21,15120
"20228",21,19184
"20229",21,19662
"20230",21,19779
"20250",21,17166
"20251",21,17145
"20252",21,16519
"20253",21,15033
"20254",21,15499
"20255",21,14899
"20256",21,14841
"20257",21,14625
"20258",21,14732
"20259",21,12989
"20260",21,14220
"20261",21,13499
"20262",21,13741
"20263",21,14883
"20266",21,14748
"20267",21,15147
"20270",21,13968
"20284",21,8361
"20285",21,7882
"20286",21,6597
"20287",21,6804
"20289",21,7212
"20290",21,7169
"20291",21,6850
